epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4783.78,1.87691,2.14265,1.64102,0.64268,0.66821,0.66324,0.34875,1.78001,1.2953,1.5805,0.000131036,0.000131036,0.000131036
60,4864.96,1.86795,2.13786,1.63256,0.64803,0.6462,0.65461,0.34414,1.78024,1.30912,1.56329,0.000120661,0.000120661,0.000120661
61,4946.71,1.8635,2.14284,1.64246,0.64459,0.66781,0.64955,0.3327,1.7858,1.3059,1.58964,0.000110657,0.000110657,0.000110657
62,5028.53,1.85631,2.12524,1.62306,0.66421,0.67657,0.65521,0.33611,1.78093,1.3056,1.57595,0.000101038,0.000101038,0.000101038
63,5109.84,1.83402,2.11793,1.61176,0.61719,0.6654,0.64544,0.33762,1.77471,1.29849,1.57811,9.18197e-05,9.18197e-05,9.18197e-05
64,5192.18,1.8126,2.06106,1.59919,0.67234,0.66487,0.64858,0.33355,1.76954,1.29491,1.56547,8.30154e-05,8.30154e-05,8.30154e-05
65,5273.99,1.83353,2.08794,1.61447,0.65169,0.62839,0.63868,0.33282,1.75583,1.29204,1.56795,7.46391e-05,7.46391e-05,7.46391e-05
66,5355.46,1.82638,2.05871,1.61085,0.63185,0.66525,0.64724,0.33741,1.77345,1.28348,1.57656,6.67037e-05,6.67037e-05,6.67037e-05
67,5437.11,1.8382,2.06937,1.60961,0.64687,0.66245,0.65404,0.34079,1.75817,1.28213,1.56533,5.92214e-05,5.92214e-05,5.92214e-05
68,5518.96,1.82191,2.05847,1.60181,0.65227,0.6489,0.65718,0.34344,1.75486,1.27469,1.56934,5.22037e-05,5.22037e-05,5.22037e-05
69,5601.11,1.79582,2.02614,1.59568,0.65093,0.6476,0.65789,0.34167,1.76984,1.26662,1.5809,4.56616e-05,4.56616e-05,4.56616e-05
70,5682.47,1.82825,2.08204,1.61329,0.64441,0.6719,0.65224,0.33615,1.76868,1.27146,1.57848,3.9605e-05,3.9605e-05,3.9605e-05
71,5766.71,1.82817,2.06581,1.64279,0.64801,0.65281,0.64536,0.33412,1.77578,1.27884,1.57771,3.40433e-05,3.40433e-05,3.40433e-05
72,5849.85,1.78661,2.0285,1.61692,0.70737,0.63804,0.66081,0.33721,1.75914,1.27402,1.56892,2.8985e-05,2.8985e-05,2.8985e-05
73,5934.02,1.78514,2.00103,1.60923,0.73048,0.61631,0.6539,0.33619,1.76873,1.28056,1.57545,2.44381e-05,2.44381e-05,2.44381e-05
74,6017.12,1.765,2.01299,1.60838,0.64969,0.67435,0.65424,0.33835,1.76047,1.26905,1.56988,2.04094e-05,2.04094e-05,2.04094e-05
75,6100.61,1.77132,1.99617,1.60791,0.65643,0.68809,0.67042,0.34663,1.76065,1.26456,1.57059,1.69053e-05,1.69053e-05,1.69053e-05
76,6184.52,1.75921,1.97868,1.60551,0.63592,0.68673,0.66564,0.34969,1.7475,1.26639,1.56449,1.39311e-05,1.39311e-05,1.39311e-05
77,6270.2,1.75107,1.96545,1.60487,0.65603,0.68455,0.66312,0.34615,1.74961,1.26086,1.5656,1.14913e-05,1.14913e-05,1.14913e-05
78,6354.75,1.75731,1.97356,1.59759,0.65733,0.68325,0.6695,0.34837,1.74401,1.25669,1.56096,9.58982e-06,9.58982e-06,9.58982e-06
79,6440.68,1.74092,1.95722,1.59462,0.68109,0.6615,0.66542,0.34721,1.74259,1.25803,1.55858,8.22951e-06,8.22951e-06,8.22951e-06
80,6525.02,1.7482,1.93824,1.59392,0.67829,0.65883,0.6606,0.34542,1.73803,1.26051,1.55652,7.41248e-06,7.41248e-06,7.41248e-06
